Title,Test Interactions,Food Interactions
"Andexanet Alfa (Coagulation Factor Xa [Recombinant], Inactivated) (Lexi-Drugs)","When the anti-FXa activity assay is performed after administration of andexanet alfa, the FXa inhibitor may dissociate from andexanet alfa, resulting in falsely elevated anti-FXa activity, causing a substantial underestimation of the reversal activity.

",
Ciprofloxacin (Systemic) (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

","Food decreases rate, but not extent, of absorption. Ciprofloxacin may increase serum caffeine levels if taken concurrently. Rarely, crystalluria may occur. Enteral feedings may decrease plasma concentrations of ciprofloxacin probably by >30% inhibition of absorption. Management: May administer with most foods to minimize GI upset. If unable to avoid the following foods, administer ciprofloxacin at least 2 hours before or 6 hours after dairy products or calcium-fortified juices alone or in a meal containing >800 mg calcium. Restrict caffeine intake if excessive cardiac or CNS stimulation occurs. Ensure adequate hydration during therapy. Ciprofloxacin should not be administered with enteral feedings. The feeding would need to be discontinued for 1 to 2 hours prior to and after ciprofloxacin administration. Nasogastric administration produces a greater loss of ciprofloxacin bioavailability than does nasoduodenal administration.

"
CefTRIAXone (Lexi-Drugs),"Positive direct Coombs', false-positive urinary glucose test using nonenzymatic methods, false-positive galactosemia tests.

",
EPHEDrine (Systemic) (Lexi-Drugs),"Can cause a false-positive amphetamine EMIT assay

",
Ixabepilone (Lexi-Drugs),,"Grapefruit juice may increase plasma concentrations of ixabepilone. Management: Avoid grapefruit juice.

"
Amikacin Liposome (Oral Inhalation) (Lexi-Drugs),,
Vasopressin (Geriatric Lexi-Drugs),,
Lisocabtagene Maraleucel (Lexi-Drugs),,
Vasopressin (Lexi-Drugs),,
Sirolimus (Protein Bound) (Lexi-Drugs),,"Grapefruit or grapefruit juice may increase serum sirolimus concentrations. Management: Avoid grapefruit and grapefruit juice.

"
Acetylcysteine (Lexi-Drugs),,
Potassium Iodide (Lexi-Drugs),"Iodide may alter thyroid function tests.

",
Irinotecan (Liposomal) (Lexi-Drugs),,
EpiRUBicin (Lexi-Drugs),,
Theophylline (Lexi-Drugs),"Plasma glucose, uric acid, free fatty acids, total cholesterol, HDL, HDL/LDL ratio, and urinary free cortisol excretion may be increased by theophylline. Theophylline may decrease triiodothyronine.

","Ethanol: Ethanol may decrease theophylline clearance. Management: Monitor theophylline concentrations, particularly when alcohol consumption patterns change.

Food: Theophylline clearance is increased and half-life decreased by low carbohydrate/high protein diets, parenteral nutrition, and daily consumption of charcoal-broiled beef; a high carbohydrate/low protein diet can decrease the clearance and prolong the half-life of theophylline. Management: Avoid extremes of dietary protein and carbohydrate intake.

"
"Methylfolate, Methylcobalamin, and Acetylcysteine (Geriatric Lexi-Drugs)",,
Atropine (Ophthalmic) (Lexi-Drugs),,
Tetracaine (Topical) (Lexi-Drugs),,
Ciprofloxacin and Fluocinolone (Lexi-Drugs),,
Vancomycin (Geriatric Lexi-Drugs),,
DexAMETHasone (Ophthalmic) (Pediatric and Neonatal Lexi-Drugs),,
Iobenguane I 131 (Lexi-Drugs),,
Neostigmine and Glycopyrrolate (Pediatric and Neonatal Lexi-Drugs),,
Decitabine and Cedazuridine (Lexi-Drugs),,
Ansuvimab (Lexi-Drugs),,
Copper IUD (Lexi-Drugs),,
Esmolol (Lexi-Drugs),,
Dalteparin (Lexi-Drugs),,
Onasemnogene Abeparvovec (Lexi-Drugs),,
Manganese (Lexi-Drugs),,
Ipilimumab (Lexi-Drugs),,
Bamlanivimab and Etesevimab (Lexi-Drugs),,
TraMADol (Lexi-Drugs),"May interfere with urine detection of phencyclidine (false-positive) (Hull 2006).

",
Fluoroestradiol F18 (Lexi-Drugs),,
Bendamustine (Lexi-Drugs),,
Obinutuzumab (Lexi-Drugs),,
PHENobarbital (Lexi-Drugs),,"Phenobarbital increases the hepatic metabolism of vitamin D to inactive compounds and reduces calcium absorption (Gough 1986). Management: Increase intake of foods rich in vitamin D. Supplementation of vitamin D and/or calcium may be necessary.

"
Anthrax Immune Globulin (Human) [ANTIDOTE] (Lexi-Tox),"Contains maltose; falsely elevated blood glucose levels may occur when glucose monitoring devices and test strips utilizing the glucose dehydrogenase pyrroloquinolinequinone (GDH-PQQ) or glucose-dye-oxidoreductase based methods are used. Glucose monitoring devices and test strips which utilize the glucose-specific method are recommended. Urinalysis after anthrax immune globulin administration may result in transiently elevated glucose; testing should be repeated to determine if action is warranted.



Passively transferred antibodies may yield false-positive serologic testing results; may yield false-positive direct and indirect Coombs’ test.

",
MetroNIDAZOLE (Systemic) (Lexi-Drugs),"May interfere with AST, ALT, triglycerides, glucose, and LDH testing

","Peak antibiotic serum concentration lowered and delayed, but total drug absorbed not affected.

"
Betamethasone (Systemic) (Lexi-Drugs),"May suppress the wheal and flare reactions to skin test antigens

",
Dihydroergotamine (Lexi-Drugs),,
Digoxin (Lexi-Drugs),"Spironolactone may interfere with digoxin radioimmunoassay.

","Digoxin peak serum concentrations may be decreased if taken with food. Meals containing increased fiber (bran) or foods high in pectin may decrease oral absorption of digoxin.

"
Betamethasone (Briggs Drugs in Pregnancy and Lactation),,
Glucarpidase (Lexi-Drugs),"Methotrexate levels: For up to 48 hours following glucarpidase administration, the preferred method of measuring methotrexate concentrations is the chromatographic method. DAMPA, an inactive methotrexate metabolite with a half-life of ~9 hours, interferes with immunoassays and may result in the overestimation of the methotrexate concentration.

",
Oxycodone and Naloxone (Lexi-Drugs),,
Labetalol (Lexi-Drugs),"False-positive urine catecholamines, metanephrine, normetanephrine, and vanillylmandelic acid (VMA) if measured by fluorometric or photometric methods (high performance liquid chromatographic [HPLC] assay with solid phase extraction should be used to determine levels of catecholamines); false-positive urine amphetamine if measured by thin-layer chromatography or radioenzymatic assay (gas chromatographic-mass spectrometer technique should be used); may lead to false-positive aldosterone/renin ratio (ARR) (Funder 2016)

","Labetalol serum concentrations may be increased if taken with food. Management: Administer with food.

"
C1 Inhibitor (Recombinant) (Lexi-Drugs),,
Ramucirumab (Lexi-Drugs),,
Flecainide (Lexi-Drugs),,"Clearance may be decreased in patients following strict vegetarian diets due to urinary pH ≥8. Milk may interfere with the absorption of flecainide (Russell 1989; Thompson 2012). Management: Dose reduction should be considered when milk is removed from the diet (eg, during weaning or bouts of gastroenteritis). Plasma trough flecainide levels should be monitored during major changes in dietary milk intake.

"
Gadoteridol (Lexi-Drugs),,
Patisiran (Lexi-Drugs),,
Imipenem and Cilastatin (Pediatric and Neonatal Lexi-Drugs),"Interferes with urinary glucose determination using Clinitest®; positive Coombs' [direct]

",
PENTobarbital (Lexi-Drugs),,
Lidocaine and Chlorhexidine (Lexi-Drugs),,
Ibuprofen (Lexi-Drugs),"May interfere with urine detection of phencyclidine (false-positives) (Marchei 2007). May lead to false-positive aldosterone/renin ratio (ARR) (Funder 2016).

",
Ceftolozane and Tazobactam (Pediatric and Neonatal Lexi-Drugs),,
Sodium Tetradecyl Sulfate (Lexi-Drugs),,
DexAMETHasone (Ophthalmic) (Lexi-Drugs),,
Doxycycline Hyclate Periodontal Extended-Release Liquid (Lexi-Drugs),,
Flortaucipir F18 (Lexi-Drugs),,
Dinutuximab (Lexi-Drugs),,
Eravacycline (Lexi-Drugs),,
Meloxicam (Lexi-Drugs),"May lead to false-positive aldosterone/renin ratio (ARR) (Funder 2016)

",
Busulfan (Lexi-Drugs),,
Iopamidol (Lexi-Drugs),"Iodine-binding capacity of thyroid tissue may be reduced for up to 2 weeks following administration of contrast media; diagnostic tests using iodine-containing isotopes may be affected. Thyroid function tests that are independent of iodine estimation for results are not affected (eg, T3 resin uptake, thyroxine assays).

",
Albuterol (Lexi-Drugs),"Increased renin (S), increased aldosterone (S)

",
Etomidate (Lexi-Drugs),,
Melphalan-Prednisone (Multiple Myeloma) (Lexi-Drugs),,
Elivaldogene Autotemcel (Lexi-Drugs),"Patients who have received elivaldogene autotemcel are likely to test positive by polymerase chain reaction (PCR) assays for HIV due to lentiviral vector proviral DNA, resulting in a false-positive test for HIV; patients who have received elivaldogene autotemcel should not be screened for HIV infection using a PCR-based assay.

",
Indigotindisulfonate Sodium (Lexi-Drugs),,
Iopamidol (Briggs Drugs in Pregnancy and Lactation),,
Sargramostim (Lexi-Drugs),,
Terbutaline (Lexi-Drugs),,
Belinostat (Lexi-Drugs),,
Naxitamab (Lexi-Drugs),,
Glycopyrronium (Topical) (Lexi-Drugs),,
Antihemophilic Factor (Recombinant [Porcine Sequence]) (Lexi-Drugs),,
DAUNOrubicin (Conventional) (Lexi-Drugs),,
Foscarnet (Lexi-Drugs),,
DAPTOmycin (Lexi-Drugs),"Daptomycin may cause false prolongation of the PT and increase of INR with certain recombinant thromboplastin reagents. This appears to be a dose-dependent phenomenon. If PT/INR is elevated, repeat PT/INR immediately prior to next daptomycin dose (eg, trough). If PT/INR remains elevated, repeat PT/INR using alternate reagents (if available) and evaluate for other causes of elevated PT/INR.

",
Metoprolol (Lexi-Drugs),,"Food increases absorption. Metoprolol serum levels may be increased if taken with food. Management: Take immediate release tartrate tablets with food; succinate can be taken with or without food.

"
Aminophylline (Lexi-Drugs),"Plasma glucose, uric acid, free fatty acids, total cholesterol, HDL, HDL/LDL ratio, and urinary free cortisol excretion may be increased by theophylline. Theophylline may decrease triiodothyronine.

","Ethanol: Ethanol may decrease theophylline clearance. Management: Monitor theophylline concentrations, particularly when alcohol consumption patterns change.

Food: Theophylline clearance is increased and half-life decreased by low carbohydrate/high protein diets, parenteral nutrition, and daily consumption of charcoal-broiled beef; a high carbohydrate/low protein diet can decrease the clearance and prolong the half-life of theophylline. Management: Avoid extremes of dietary protein and carbohydrate intake.

"
Mogamulizumab (Lexi-Drugs),,
EPHEDrine (Systemic) (Lexi-Drugs),"Can cause a false-positive amphetamine EMIT assay

",
"Imipenem, Cilastatin, and Relebactam (Infectious Diseases)","Positive Coombs.

",
Reslizumab (Lexi-Drugs),,
Ifosfamide (Lexi-Drugs),,
Nafcillin (Lexi-Drugs),"Positive Coombs' test (direct), false-positive urinary and serum proteins; may inactivate aminoglycosides in vitro

",
Procyclidine (Lexi-Drugs),,
Loteprednol and Tobramycin (Lexi-Drugs),,
Ascorbic Acid (Lexi-Drugs),"False-negative stool occult blood 48 to 72 hours after ascorbic acid ingestion.

Ascorbic acid may interfere with laboratory tests based on oxidation-reduction reactions (eg, blood and urine glucose testing, nitrite and bilirubin levels, leucocyte count). High-dose ascorbic acid has been associated with falsely-elevated glucose measurements by point of care glucometers. Use of plasma laboratory assays or an FDA-approved device that corrects for interferences are recommended (Hager 2019; Tran 2014; Vasudevan 2014). Alternatively, laboratory tests based on oxidation-reduction reactions should be delayed until 24 hours after dose.

",
Etranacogene Dezaparvovec (Lexi-Drugs),"When using an in vitro activated partial thromboplastin time (aPTT)–based one-stage clotting assay (OSA) for determining factor IX activity, results can be affected both by the type of aPTT reagent and the reference standard used in the assay. The same assay and reagents are recommended to be used when monitoring factor IX activity over time if feasible (the use of different assays or reagents may affect test results). Factor IX activity test results are lower if measured with chromogenic substrate assay (CSA) compared to OSA. In a clinical study, post-dose factor IX activity showed the mean CSA to OSA factor IX activity ratio ranging from 0.41 to 0.55.

",
Nivolumab (Lexi-Drugs),,
Spesolimab (Lexi-Drugs),,
LevoFLOXacin (Systemic) (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

","Administration with food prolonged time to peak by ~1 hour and decreased the peak concentration by ~14% and ~25% for the tablet and oral solution, respectively. Management: Tablet may be administered without regard to food; oral solution should be administered at least 1 hour before or 2 hours after food.

"
Imipenem and Cilastatin (Lexi-Drugs),"Interferes with urinary glucose determination using Clinitest®; positive Coombs' [direct]

",
Loncastuximab Tesirine (Lexi-Drugs),,
Elotuzumab (Lexi-Drugs),"Elotuzumab may be detected on both serum protein electrophoresis (SPEP) and serum immunofixation assays used for multiple myeloma endogenous M-protein monitoring, and may affect the determination of complete response and disease progression of some patients with IgG kappa myeloma protein. A small peak in the early gamma region on SPEP that is IgG kappa on serum immunofixation may potentially be attributed to elotuzumab (especially when endogenous myeloma protein is IgA, IgM, IgD, or lambda light chain restricted).

",
Lidocaine and Epinephrine (Lexi-Drugs),,
Gadoxetate (Lexi-Drugs),"Falsely high or low values of serum iron (if determined by complexometric methods) may occur for up to 24 hours following administration.

",
Acyclovir (Topical) (Lexi-Drugs),,
Ibuprofen and Acetaminophen (Pediatric and Neonatal Lexi-Drugs),"Acetaminophen may cause false-positive urinary 5-hydroxyindoleacetic acid. Ibuprofen may interfere with urine detection of phencyclidine (false-positives) (Marchei 2007), and may lead to false-positive aldosterone/renin ratio (ARR) (Funder 2016).

",
Betamethasone and Gentamicin (Lexi-Drugs),,
Phytonadione (Lexi-Drugs),,
Methadone (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered. False-positive urine methadone screens have been reported in patients taking medications, including diphenhydramine, doxylamine, clomipramine, chlorpromazine, thioridazine, quetiapine, and verapamil.

","Grapefruit/grapefruit juice may increase levels of methadone. Management: Monitor for increased effects/toxicity with concomitant use.

"
Antithymocyte Globulin (Rabbit) (Lexi-Drugs),"Potential interference with rabbit antibody-based immunoassays and with cross-match or panel-reactive antibody cytotoxicity assays. Has not been shown to interfere with routine clinical laboratory tests which do not use immunoglobulins.

",
Crizotinib (Lexi-Drugs),,"Grapefruit juice may increase serum crizotinib levels. Management: Avoid grapefruit and grapefruit juice.

"
Oxycodone and Aspirin (Lexi-Drugs),"Refer to individual agents.

",
"Ibuprofen, Pseudoephedrine, and Chlorpheniramine (Lexi-Drugs)","See individual agents.

","See individual agents.

"
Amobarbital (Lexi-Drugs),,
Sodium Phenylacetate and Sodium Benzoate (Lexi-Drugs),,
Metoclopramide (Lexi-Drugs),,
Cytomegalovirus Immune Globulin (Intravenous-Human) (Lexi-Drugs),,
Lidocaine (Topical) (Lexi-Drugs),,
Oxycodone and Ibuprofen (Lexi-Drugs),,"See individual agents.

"
Viltolarsen (Lexi-Drugs),"May interfere with detection of urine protein (false positive) when pyrogallol red reagent is used. Use a laboratory test that does not contain pyrogallol red reagent or use urine free of viltolarsen (eg, urine obtained prior to infusion or ≥48 hours after infusion).

",
Posaconazole (Lexi-Drugs),,"IR oral suspension: Bioavailability increased ~3 times when posaconazole IR oral suspension was administered with a nonfat meal or an oral liquid nutritional supplement; increased ~4 times when administered with a high-fat meal. Management: IR oral suspension must be administered with or within 20 minutes of a full meal, an oral liquid nutritional supplement, or an acidic carbonated beverage (eg, ginger ale). Consider alternative antifungal therapy in patients with inadequate oral intake or severe diarrhea/vomiting.

Delayed-release tablet: Following administration of posaconazole delayed-release tablets, the AUC increased 51% when given with a high-fat meal compared with a fasted state. Management: Take tablet with food when possible but may be taken with or without food. Consider alternative antifungal therapy in patients with severe diarrhea/vomiting.

"
Amphotericin B (Liposomal) (Lexi-Drugs),"Falsely-elevated serum phosphate may occur when using the PHOSm assay.

",
Diclofenac (Topical) (Lexi-Drugs),,
Thiamine (Lexi-Drugs),"

False-positive for uric acid using the phosphotungstate method and for urobilinogen using the Ehrlich's reagent; large doses may interfere with the spectrophotometric determination of serum theophylline concentration

","Food: High carbohydrate diets may increase thiamine requirement.

"
Linezolid (Lexi-Drugs),,"Concurrent ingestion of foods rich in tyramine, dopamine, tyrosine, phenylalanine, tryptophan, or caffeine may cause sudden and severe high blood pressure (hypertensive crisis or serotonin syndrome). Beverages containing tyramine (eg, hearty red wine and beer) may increase toxic effects. Management: Avoid tyramine-containing foods (aged or matured cheese, air-dried or cured meats including sausages and salamis; fava or broad bean pods, tap/draft beers, Marmite concentrate, sauerkraut, soy sauce, and other soybean condiments). Food’s freshness is also an important concern; improperly stored or spoiled food can create an environment in which tyramine concentrations may increase. Avoid foods containing dopamine, tyrosine, phenylalanine, tryptophan, or caffeine. Avoid beverages containing tyramine.

"
Selexipag (Lexi-Drugs),,
Dacarbazine (Lexi-Drugs),,
Arsenic Trioxide (Lexi-Drugs),,
Laronidase (Lexi-Drugs),,
Insulin Glulisine (Lexi-Drugs),,
Mepivacaine (Lexi-Drugs),,
AcetaZOLAMIDE (Lexi-Drugs),"May cause false-positive results for urinary protein with Albustix®, Labstix®, Albutest®, Bumintest®; interferes with HPLC theophylline assay and serum uric acid levels; may lead to false-negative aldosterone/renin ratio (ARR) (Funder 2016)

",
NiMODipine (Lexi-Drugs),"May lead to false-negative aldosterone/renin ratio (ARR) (Funder 2016)

","Administration of capsules with a standard breakfast results in a 68% lower maximum plasma concentration and 38% lower bioavailability as compared to administration under fasted conditions. In addition, AUC and maximum plasma concentration were increased by an average of 51% and 24%, respectively, following administration of nimodipine with grapefruit juice (Fuhr 1998). Management: Administer capsules on an empty stomach, at least 1 hour before or 2 hours after meals. Avoid concurrent use of grapefruit juice and nimodipine capsules or tablets [Canadian product].

"
Necitumumab (Lexi-Drugs),,
Alemtuzumab (Lexi-Drugs),"May interfere with diagnostic serum tests that utilize antibodies.

",
Neostigmine and Glycopyrrolate (Lexi-Drugs),,
Tobramycin (Oral Inhalation) (Lexi-Drugs),,
Tisotumab Vedotin (Lexi-Drugs),,
Ondansetron (Lexi-Drugs),,"Tablet: Food slightly increases the extent of absorption. Management: Administer without regard to meals.

"
PyRIDostigmine (Lexi-Drugs),,
Oxaliplatin (Lexi-Drugs),,
Ciprofloxacin (Systemic) (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

","Food decreases rate, but not extent, of absorption. Ciprofloxacin may increase serum caffeine levels if taken concurrently. Rarely, crystalluria may occur. Enteral feedings may decrease plasma concentrations of ciprofloxacin probably by >30% inhibition of absorption. Management: May administer with most foods to minimize GI upset. If unable to avoid the following foods, administer ciprofloxacin at least 2 hours before or 6 hours after dairy products or calcium-fortified juices alone or in a meal containing >800 mg calcium. Restrict caffeine intake if excessive cardiac or CNS stimulation occurs. Ensure adequate hydration during therapy. Ciprofloxacin should not be administered with enteral feedings. The feeding would need to be discontinued for 1 to 2 hours prior to and after ciprofloxacin administration. Nasogastric administration produces a greater loss of ciprofloxacin bioavailability than does nasoduodenal administration.

"
Fludarabine-Cyclophosphamide (CLL) (Lexi-Drugs),,
Pentazocine and Naloxone (Lexi-Drugs),,
Dalbavancin (Lexi-Drugs),,
Ibalizumab (Lexi-Drugs),,
MitoMYcin (Ureteral Gel) (Lexi-Drugs),,
Efgartigimod Alfa (Lexi-Drugs),,
Caffeine (Lexi-Drugs),,
Benztropine (Lexi-Drugs),,
ROPivacaine (Lexi-Drugs),,
Verteporfin (Lexi-Drugs),,"Ethanol may decrease efficacy of verteporfin. Management: Avoid ethanol during therapy.

"
Sutimlimab (Lexi-Drugs),,
Sebelipase Alfa (Lexi-Drugs),,
Cladribine (Lexi-Drugs),,
Vaccinia Immune Globulin (Intravenous) (Lexi-Drugs),"Passively transferred antibodies may yield false-positive serologic testing results; may yield false-positive direct and indirect Coombs test.

",
Mycophenolate (Lexi-Drugs),,"Food decreases Cmax of MPA by 40% following mycophenolate mofetil (CellCept) administration and 33% following mycophenolate sodium (Myfortic) use; the extent of absorption is not changed. Management: Take mycophenolate mofetil or mycophenolate sodium on an empty stomach to decrease variability; however, mycophenolate mofetil may be taken with food if necessary in stable renal transplant recipients.

"
Vinorelbine (Lexi-Drugs),,
Abatacept (Lexi-Drugs),"Abatacept for IV infusion contains maltose; may result in falsely elevated blood glucose levels with dehydrogenase pyrroloquinolinequinone or glucose-dye-oxidoreductase testing methods on the day of infusion. Glucose monitoring methods which utilize glucose dehydrogenase nicotine adenine dinucleotide (GDH-NAD), glucose oxidase, or glucose hexokinase are recommended.

",
VinCRIStine (Liposomal) (Lexi-Drugs),,
"Acetaminophen, Diphenhydramine, and Phenylephrine (Lexi-Drugs)","See individual agents.

",
Glucagon (Geriatric Lexi-Drugs),,"Glucagon depletes glycogen stores.

"
Gallium Ga 68 Dotatate (Lexi-Drugs),,
Tobramycin (Systemic) (Lexi-Drugs),"Some penicillin derivatives may accelerate the degradation of aminoglycosides in vitro, leading to a potential underestimation of aminoglycoside serum concentration.

",
Porfimer (Lexi-Drugs),,
NiCARdipine (Lexi-Drugs),"May lead to false-negative aldosterone/renin ratio (ARR) (Funder 2016)

","Serum concentrations/toxicity of nicardipine may be increased by grapefruit juice. Management: Monitor for excessive hemodynamic (ie, blood pressure, heart rate) response to nicardipine in patients who consume grapefruit juice.

"
Penicillin G (Parenteral/Aqueous) (Lexi-Drugs),"False-positive or negative urinary glucose determination using Clinitest®; positive Coombs' [direct]; false-positive urinary and/or serum proteins by certain test methods

",
DOXOrubicin (Conventional) (Pediatric and Neonatal Lexi-Drugs),,
CefTAZidime (Lexi-Drugs),"Positive direct Coombs', false-positive urinary glucose test using cupric sulfate (Benedict's solution, Clinitest®, Fehling's solution), false- positive serum or urine creatinine with Jaffé reaction

",
Morphine (Systemic) (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

","Ethanol: Alcoholic beverages or ethanol-containing products may disrupt extended release formulation resulting in rapid release of entire morphine dose. Management: Avoid alcohol. Do not administer Kadian with alcoholic beverages or ethanol-containing prescription or nonprescription products.

Food: Administration of oral morphine solution with food may increase bioavailability (ie, a report of 34% increase in morphine AUC when morphine oral solution followed a high-fat meal). The bioavailability of MorphaBond, MS Contin, or Kadian does not appear to be affected by food. Management: Take consistently with or without meals.

"
Norepinephrine (Pediatric and Neonatal Lexi-Drugs),,
Insulin (Oral Inhalation) (Lexi-Drugs),,
Tirofiban (Lexi-Drugs),,
Ciltacabtagene Autoleucel (Lexi-Drugs),,
Acetylcysteine (Pediatric and Neonatal Lexi-Drugs),,
Cetirizine (Ophthalmic) (Lexi-Drugs),,
Floxuridine (Lexi-Drugs),,
Neostigmine (Pediatric and Neonatal Lexi-Drugs),,
Vancomycin (Infectious Diseases),,
Vestronidase Alfa (Pediatric and Neonatal Lexi-Drugs),,
Lidocaine (Systemic) (Lexi-Drugs),,
Antithymocyte Globulin (Equine) (Pediatric and Neonatal Lexi-Drugs),,
Daratumumab and Hyaluronidase (Lexi-Drugs),"Daratumumab binds to CD38 on red blood cells; daratumumab-based therapy may result in a positive indirect antiglobulin test (indirect Coombs test). Daratumumab-mediated Coombs test positivity may persist for up to 6 months after the last dose. In addition, daratumumab (bound to red blood cells) masks antibody detection to minor antigens in the patient's serum; ABO and Rh blood type determination are not affected. Notify blood transfusion centers and blood banks that a patient has received daratumumab/hyaluronidase. Type and screen patients prior to treatment initiation.

Daratumumab (a human IgG kappa monoclonal antibody) may be detected on serum protein electrophoresis and immunofixation assays that monitor for endogenous M-protein. Interference with these assays by daratumumab-based therapy may affect the determination of complete response and disease progression in some patients with IgG kappa myeloma protein.

",
Sodium Nitrite (Lexi-Drugs),,
"Antipsychotic Agents, Atypical (Lexi-Tox)",,
Scopolamine (Lexi-Drugs),"Interferes with gastric secretion test. Transdermal system should be discontinued ≥10 days prior to testing.

",
Liothyronine (Lexi-Drugs),"T4-binding globulin (TBG): Factors that alter binding in serum (ATA/AACE [Garber 2012]):

Note: T4 is ~99.97% protein bound. Factors that alter protein binding will affect serum total T4 levels; however, measurement of serum free T4 (the metabolically active moiety) has largely replaced serum total T4 for thyroid status assessment.

Conditions/states that increase TBG binding: Pregnancy, hepatitis, porphyria, neonatal state

Medications that increase TBG binding: Estrogens, 5-fluorouracil, heroin, methadone, mitotane, perphenazine, selective estrogen receptor modulators (eg, tamoxifen, raloxifene)

Conditions/states that decrease TBG binding: Hepatic failure, nephrosis, severe illness

Medications that decrease TBG binding: Androgens, anabolic steroids, glucocorticoids, L-asparaginase, nicotinic acid

Thyroxine (T4) and Triiodothyronine (T3): Serum binding inhibitors (ATA/AACE [Garber 2012]):

Medications that inhibit T4 and T3 binding: Carbamazepine, furosemide, free fatty acids, heparin, NSAIDS (variable, transient), phenytoin, salicylates

Thyroid gland hormone: Interference with production and secretion (ATA/AACE [Garber 2012]): Medications affecting iodine uptake: Amiodarone, iodinated contrast agents, iodine, ethionamide



Medications affecting hormone production: Amiodarone, ethionamide, iodinated contrast agents, iodine, sulfonylureas, sulfonamides, thionamides (carbimazole, methimazole, propylthiouracil)

Medications affecting secretion: Amiodarone, iodinated contrast agents, iodine, lithium

Medications inducing thyroiditis: Alemtuzumab, amiodarone, antiangiogenic agents (lenalidomide, thalidomide), denileukin diftitox, interferon alpha, interleukins, lithium, tyrosine kinase inhibitors (sunitinib, sorafenib)

Medications potentially causing the development of Graves’: Alemtuzumab, interferon alpha, antiretroviral therapy Medications potentially ameliorating thyroiditis (if autoimmune) or Graves’: Glucocorticoids

Hypothalamic-pituitary axis and TSH: Interference with secretion (ATA/AACE [Garber 2012]):

Medications decreasing TSH secretion: Bexarotene, dopamine, dopaminergic agonists (bromocriptine, cabergoline), glucocorticoids, interleukin-6, metformin, opiates, somatostatin analogues (octreotide, lanreotide), thyroid hormone analogues

Medications increasing TSH secretion: Amphetamine, interleukin 2, metoclopramide, ritonavir, St John's wort Medications potentially causing hypophysitis: Ipilimumab

",
Valproic Acid and Derivatives (Lexi-Drugs),"May cause a false-positive result for urine ketones (valproate partially eliminated as a keto-metabolite in the urine); may alter thyroid function tests

","Food may delay but does not affect the extent of absorption. Management: May administer with food if GI upset occurs.

"
Cefiderocol (Lexi-Drugs),"May result in false-positive urine dipstick tests (eg, urine protein, ketones, occult blood).

",
Prochlorperazine (Lexi-Drugs),"False-positives for phenylketonuria, pregnancy

",
Crotalidae Immune F(ab')2 (Equine) (Lexi-Drugs),,
Doripenem (Lexi-Drugs),,
Idursulfase (Lexi-Drugs),,
MitoMYcin (Systemic) (Lexi-Drugs),,
Sarilumab (Lexi-Drugs),,
Antithymocyte Globulin (Rabbit) (Pediatric and Neonatal Lexi-Drugs),"Potential interference with rabbit antibody-based immunoassays and with cross-match or panel-reactive antibody cytotoxicity assays. Has not been shown to interfere with routine clinical laboratory tests which do not use immunoglobulins.

",
DAUNOrubicin (Liposomal) (Lexi-Drugs),,
Meropenem and Vaborbactam (Lexi-Drugs),"Positive Coombs'

",
HydrOXYzine (Lexi-Drugs),"May cause false-positive serum TCA screen (Dasgupta 2007).

",
Minocycline Hydrochloride Periodontal Microspheres (Lexi-Drugs),,
OxyCODONE (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

",
Pentostatin (Lexi-Drugs),,
"Folic Acid, Cyanocobalamin, and Pyridoxine (Lexi-Drugs)",,
Potassium Phosphate and Sodium Phosphate (Lexi-Drugs),,
SUFentanil (Lexi-Drugs),,
Tobramycin (Ophthalmic) (Lexi-Drugs),,
Leucovorin Calcium (Lexi-Drugs),,
Methylene Blue (Lexi-Drugs),"May interfere with the interpretation of any urine test that relies on a blue indicator (such as the dipstick for leucocyte esterase).

",
Colistimethate (Lexi-Drugs),,
Docetaxel-Oxaliplatin-Leucovorin-Fluorouracil (Esophageal) (Lexi-Drugs),,
